congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,182,0.972527472527473,0.9461209,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,84,0.976190476190476,0.94419563,63
117,house,A000055,Aderholt,AL,4,R,3,1,0.99280009,63
0,house,A000148,Auchincloss,MA,4,Democrat,3,0,0.00791505,-24.2
117,house,A000148,Auchincloss,MA,4,D,3,0,0.00791505,-24.2
0,house,A000367,Amash,MI,3,Libertarian,180,0.661111111111111,0.73823762,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666666666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,182,0.945054945054945,0.79306705,12.3
115,house,A000369,Amodei,NV,2,R,94,0.98936170212766,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,85,0.917647058823529,0.71157329,12.3
117,house,A000369,Amodei,NV,2,R,3,0.333333333333333,0.48698626,12.3
0,house,A000370,Adams,NC,12,Democrat,183,0.114754098360656,0.13508592,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043478261,0.20378724,-40
116,house,A000370,Adams,NC,12,D,88,0.0568181818181818,0.06785155,-40
117,house,A000370,Adams,NC,12,D,3,0,4.5344e-4,-40
0,house,A000371,Aguilar,CA,31,Democrat,184,0.173913043478261,0.19978536,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595744680851,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,87,0.0689655172413793,0.08295356,-21.1
117,house,A000371,Aguilar,CA,31,D,3,0,0.01332996,-21.1
0,house,A000372,Allen,GA,12,Republican,187,0.962566844919786,0.8542446,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,89,0.955056179775281,0.80872198,16.2
117,house,A000372,Allen,GA,12,R,3,1,0.57250321,16.2
0,house,A000374,Abraham,LA,5,Republican,147,0.945578231292517,0.9446263,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333333333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,51,0.980392156862745,0.94234264,29.4
0,house,A000375,Arrington,TX,19,Republican,186,0.962365591397849,0.94298621,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,88,0.954545454545455,0.93520171,49
117,house,A000375,Arrington,TX,19,R,3,1,0.96157494,49
0,house,A000376,Allred,TX,32,Democrat,91,0.0769230769230769,0.21177144,-1.9
116,house,A000376,Allred,TX,32,D,88,0.0795454545454545,0.21290021,-1.9
117,house,A000376,Allred,TX,32,D,3,0,0.17866081,-1.9
0,house,A000377,Armstrong,ND,0,Republican,90,0.888888888888889,0.92550027,35.72888837
116,house,A000377,Armstrong,ND,0,R,87,0.908045977011494,0.9273315,35.72888837
117,house,A000377,Armstrong,ND,0,R,3,0.333333333333333,0.87239455,35.72888837
0,house,A000378,Axne,IA,3,Democrat,92,0.0869565217391304,0.37030701,3.5
116,house,A000378,Axne,IA,3,D,89,0.0898876404494382,0.37315719,3.5
117,house,A000378,Axne,IA,3,D,3,0,0.28575165,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.923913043478261,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.923913043478261,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,183,0.262295081967213,0.27969585,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.451612903225806,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,87,0.0689655172413793,0.10398764,-11.7
117,house,B000490,Bishop,GA,2,D,3,0,0.056039,-11.7
