congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,182,0.972527473,0.9461209,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421053,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,84,0.976190476,0.94419563,63
117,house,A000055,Aderholt,AL,4,R,3,1,0.99280009,63
0,house,A000148,Auchincloss,MA,4,Democrat,3,0,0.00791505,-24.2
117,house,A000148,Auchincloss,MA,4,D,3,0,0.00791505,-24.2
0,house,A000367,Amash,MI,3,Libertarian,180,0.661111111,0.73823762,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,182,0.945054945,0.79306705,12.3
115,house,A000369,Amodei,NV,2,R,94,0.989361702,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,85,0.917647059,0.71157329,12.3
117,house,A000369,Amodei,NV,2,R,3,0.333333333,0.48698626,12.3
0,house,A000370,Adams,NC,12,Democrat,183,0.114754098,0.13508592,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043,0.20378724,-40
116,house,A000370,Adams,NC,12,D,88,0.056818182,0.06785155,-40
117,house,A000370,Adams,NC,12,D,3,0,4.53E-04,-40
0,house,A000371,Aguilar,CA,31,Democrat,184,0.173913043,0.19978536,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595745,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,87,0.068965517,0.08295356,-21.1
117,house,A000371,Aguilar,CA,31,D,3,0,0.01332996,-21.1
0,house,A000372,Allen,GA,12,Republican,187,0.962566845,0.8542446,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421053,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,89,0.95505618,0.80872198,16.2
117,house,A000372,Allen,GA,12,R,3,1,0.57250321,16.2
0,house,A000374,Abraham,LA,5,Republican,147,0.945578231,0.9446263,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,51,0.980392157,0.94234264,29.4
0,house,A000375,Arrington,TX,19,Republican,186,0.962365591,0.94298621,49
115,house,A000375,Arrington,TX,19,R,95,0.968421053,0.94961009,49
116,house,A000375,Arrington,TX,19,R,88,0.954545455,0.93520171,49
117,house,A000375,Arrington,TX,19,R,3,1,0.96157494,49
0,house,A000376,Allred,TX,32,Democrat,91,0.076923077,0.21177144,-1.9
116,house,A000376,Allred,TX,32,D,88,0.079545455,0.21290021,-1.9
117,house,A000376,Allred,TX,32,D,3,0,0.17866081,-1.9
0,house,A000377,Armstrong,ND,0,Republican,90,0.888888889,0.92550027,35.72888837
116,house,A000377,Armstrong,ND,0,R,87,0.908045977,0.9273315,35.72888837
117,house,A000377,Armstrong,ND,0,R,3,0.333333333,0.87239455,35.72888837
0,house,A000378,Axne,IA,3,Democrat,92,0.086956522,0.37030701,3.5
116,house,A000378,Axne,IA,3,D,89,0.08988764,0.37315719,3.5
117,house,A000378,Axne,IA,3,D,3,0,0.28575165,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.923913043,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.923913043,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.40E-07,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.40E-07,-72.9
0,house,B000490,Bishop,GA,2,Democrat,183,0.262295082,0.27969585,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.451612903,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,87,0.068965517,0.10398764,-11.7
117,house,B000490,Bishop,GA,2,D,3,0,0.056039,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,182,0.131868132,0.12707912,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.175824176,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,88,0.090909091,0.06479418,-48.2
117,house,B000574,Blumenauer,OR,3,D,3,0,8.82E-05,-48.2
0,house,B000668,Bentz,OR,2,Republican,3,0.666666667,0.65034494,20.1
117,house,B000668,Bentz,OR,2,R,3,0.666666667,0.65034494,20.1
0,house,B000740,Bice,OK,5,Republican,3,1,0.51173493,13.4
117,house,B000740,Bice,OK,5,R,3,1,0.51173493,13.4
0,house,B000755,Brady,TX,8,Republican,182,0.967032967,0.94249257,48.8
115,house,B000755,Brady,TX,8,R,96,0.989583333,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,85,0.941176471,0.93314987,48.8
117,house,B000755,Brady,TX,8,R,1,1,0.99995725,48.8
0,house,B000825,Boebert,CO,3,Republican,3,1,0.48016902,12
117,house,B000825,Boebert,CO,3,R,3,1,0.48016902,12
0,house,B001223,Bowman,NY,16,Democrat,3,0,3.45E-05,-52.6
117,house,B001223,Bowman,NY,16,D,3,0,3.45E-05,-52.6
0,house,B001224,Bush,MO,1,Democrat,3,0,9.82E-06,-58.2
117,house,B001224,Bush,MO,1,D,3,0,9.82E-06,-58.2
0,house,B001227,Brady,PA,1,Democrat,93,0.172043011,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.172043011,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.91954023,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,184,0.945652174,0.9232957,26.5
115,house,B001248,Burgess,TX,26,R,94,0.957446809,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,87,0.931034483,0.90977008,26.5
117,house,B001248,Burgess,TX,26,R,3,1,0.75843393,26.5
0,house,B001250,Bishop,UT,1,Republican,172,0.953488372,0.93988036,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,79,0.949367089,0.93721999,27.3
0,house,B001251,Butterfield,NC,1,Democrat,185,0.140540541,0.14250731,-37
115,house,B001251,Butterfield,NC,1,D,94,0.212765957,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,88,0.068181818,0.06916439,-37
117,house,B001251,Butterfield,NC,1,D,3,0,8.00E-04,-37
0,house,B001257,Bilirakis,FL,12,Republican,182,0.950549451,0.8915211,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.978947368,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,86,0.918604651,0.85799403,18.6
117,house,B001257,Bilirakis,FL,12,R,1,1,0.89438161,18.6
0,house,B001260,Buchanan,FL,16,Republican,180,0.894444444,0.75582467,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.966666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,87,0.83908046,0.65787621,10.7
117,house,B001260,Buchanan,FL,16,R,3,0.333333333,0.45036248,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.97826087,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.97826087,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,175,0.091428571,0.09931362,-76.1
115,house,B001270,Bass,CA,37,D,87,0.126436782,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,85,0.058823529,0.06027399,-76.1
117,house,B001270,Bass,CA,37,D,3,0,1.10E-07,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.935897436,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.935897436,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,184,0.885869565,0.93540962,33.4
115,house,B001274,Brooks,AL,5,R,92,0.836956522,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,89,0.93258427,0.92614329,33.4
117,house,B001274,Brooks,AL,5,R,3,1,0.84805415,33.4
0,house,B001275,Bucshon,IN,8,Republican,184,0.934782609,0.93547664,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.989583333,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,85,0.894117647,0.92310655,33.7
117,house,B001275,Bucshon,IN,8,R,3,0.333333333,0.85135137,33.7
0,house,B001278,Bonamici,OR,1,Democrat,187,0.144385027,0.18736264,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,89,0.08988764,0.07896403,-22.8
117,house,B001278,Bonamici,OR,1,D,3,0,0.01003737,-22.8
0,house,B001281,Beatty,OH,3,Democrat,180,0.127777778,0.13885098,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.195652174,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,85,0.058823529,0.0709753,-38.4
117,house,B001281,Beatty,OH,3,D,3,0,6.15E-04,-38.4
0,house,B001282,Barr,KY,6,Republican,183,0.945355191,0.84671163,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,84,0.94047619,0.79507686,15.3
117,house,B001282,Barr,KY,6,R,3,0.333333333,0.55336556,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.942307692,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.942307692,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,181,0.944751381,0.78986762,11.8
115,house,B001284,Brooks,IN,5,R,96,0.989583333,0.87293384,11.8
116,house,B001284,Brooks,IN,5,R,85,0.894117647,0.69605165,11.8
0,house,B001285,Brownley,CA,26,Democrat,182,0.192307692,0.18572446,-21.9
115,house,B001285,Brownley,CA,26,D,92,0.326086957,0.30034879,-21.9
116,house,B001285,Brownley,CA,26,D,87,0.057471264,0.07051434,-21.9
117,house,B001285,Brownley,CA,26,D,3,0,0.01167212,-21.9
0,house,B001286,Bustos,IL,17,Democrat,187,0.219251337,0.49486336,0.7
115,house,B001286,Bustos,IL,17,D,95,0.368421053,0.70528738,0.7
116,house,B001286,Bustos,IL,17,D,89,0.06741573,0.27927158,0.7
117,house,B001286,Bustos,IL,17,D,3,0,0.22732551,0.7
0,house,B001287,Bera,CA,7,Democrat,188,0.228723404,0.28466442,-11.4
115,house,B001287,Bera,CA,7,D,96,0.385416667,0.45691205,-11.4
116,house,B001287,Bera,CA,7,D,89,0.06741573,0.10649631,-11.4
117,house,B001287,Bera,CA,7,D,3,0,0.05839388,-11.4
0,house,B001289,Byrne,AL,1,Republican,174,0.948275862,0.93440384,29.4
115,house,B001289,Byrne,AL,1,R,96,0.958333333,0.9458395,29.4
116,house,B001289,Byrne,AL,1,R,78,0.935897436,0.92032917,29.4
0,house,B001290,Brat,VA,7,Republican,95,0.884210526,0.80768775,6.5
115,house,B001290,Brat,VA,7,R,95,0.884210526,0.80768775,6.5
0,house,B001291,Babin,TX,36,Republican,181,0.950276243,0.9423375,46.8
115,house,B001291,Babin,TX,36,R,94,0.946808511,0.95172585,46.8
116,house,B001291,Babin,TX,36,R,84,0.952380952,0.93148976,46.8
117,house,B001291,Babin,TX,36,R,3,1,0.95190603,46.8
0,house,B001292,Beyer,VA,8,Democrat,181,0.127071823,0.11034657,-52.6
115,house,B001292,Beyer,VA,8,D,91,0.197802198,0.16911584,-52.6
